competitorname,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent,winpercent
ReeseÕs Peanut Butter cup,1,0,0,1,0,0,0,0,0,0.72,0.65,84.18
ReeseÕs Miniatures,1,0,0,1,0,0,0,0,0,0.03,0.28,81.87
Twix,1,0,1,0,0,1,0,1,0,0.55,0.91,81.64
Kit Kat,1,0,0,0,0,1,0,1,0,0.31,0.51,76.77
Snickers,1,0,1,1,1,0,0,1,0,0.55,0.65,76.67
ReeseÕs pieces,1,0,0,1,0,0,0,0,1,0.41,0.65,73.43
Milky Way,1,0,1,0,1,0,0,1,0,0.60,0.65,73.10
ReeseÕs stuffed with pieces,1,0,0,1,0,0,0,0,0,0.99,0.65,72.89
Peanut butter M&MÕs,1,0,0,1,0,0,0,0,1,0.82,0.65,71.47
Nestle Butterfinger,1,0,0,1,0,0,0,1,0,0.60,0.77,70.74
Peanut M&Ms,1,0,0,1,0,0,0,0,1,0.59,0.65,69.48
3 Musketeers,1,0,0,0,1,0,0,1,0,0.60,0.51,67.60
Starburst,0,1,0,0,0,0,0,0,1,0.15,0.22,67.04
100 Grand,1,0,1,0,0,1,0,1,0,0.73,0.86,66.97
M&MÕs,1,0,0,0,0,0,0,0,1,0.82,0.65,66.57
Nestle Crunch,1,0,0,0,0,1,0,1,0,0.31,0.77,66.47
Rolo,1,0,1,0,0,0,0,0,1,0.86,0.86,65.72
Milky Way Simply Caramel,1,0,1,0,0,0,0,1,0,0.96,0.86,64.35
Skittles original,0,1,0,0,0,0,0,0,1,0.94,0.22,63.09
HersheyÕs Krackel,1,0,0,0,0,1,0,1,0,0.43,0.92,62.28
Milky Way Midnight,1,0,1,0,1,0,0,1,0,0.73,0.44,60.80
Sour Patch Kids,0,1,0,0,0,0,0,0,1,0.07,0.12,59.86
Snickers Crisper,1,0,1,1,0,1,0,1,0,0.60,0.65,59.53
HersheyÕs Special Dark,1,0,0,0,0,0,0,1,0,0.43,0.92,59.24
Junior Mints,1,0,0,0,0,0,0,0,1,0.20,0.51,57.22
Haribo Gold Bears,0,1,0,0,0,0,0,0,1,0.47,0.47,57.12
Baby Ruth,1,0,1,1,1,0,0,1,0,0.60,0.77,56.91
HersheyÕs Milk Chocolate,1,0,0,0,0,0,0,1,0,0.43,0.92,56.49
HersheyÕs Kisses,1,0,0,0,0,0,0,0,1,0.13,0.09,55.38
Nerds,0,1,0,0,0,0,1,0,1,0.85,0.32,55.35
Skittles wildberry,0,1,0,0,0,0,0,0,1,0.94,0.22,55.10
Milk Duds,1,0,1,0,0,0,0,0,1,0.30,0.51,55.06
Swedish Fish,0,1,0,0,0,0,0,0,1,0.60,0.76,54.86
Mr Good Bar,1,0,0,1,0,0,0,1,0,0.31,0.92,54.53
Lifesavers big ring gummies,0,1,0,0,0,0,0,0,0,0.27,0.28,52.91
Sour Patch Tricksters,0,1,0,0,0,0,0,0,1,0.07,0.12,52.83
Air Heads,0,1,0,0,0,0,0,0,0,0.91,0.51,52.34
Haribo Sour Bears,0,1,0,0,0,0,0,0,1,0.47,0.47,51.41
Almond Joy,1,0,0,1,0,0,0,1,0,0.47,0.77,50.35
Tootsie Roll Snack Bars,1,0,0,0,0,0,0,1,0,0.47,0.32,49.65
Whoppers,1,0,0,0,0,1,0,0,1,0.87,0.85,49.52
Tootsie Pop,1,1,0,0,0,0,1,0,0,0.60,0.32,48.98
Mounds,1,0,0,0,0,0,0,1,0,0.31,0.86,47.83
Trolli Sour Bites,0,1,0,0,0,0,0,0,1,0.31,0.26,47.17
Gobstopper,0,1,0,0,0,0,1,0,1,0.91,0.45,46.78
Mike & Ike,0,1,0,0,0,0,0,0,1,0.87,0.32,46.41
Payday,0,0,0,1,1,0,0,1,0,0.47,0.77,46.30
One quarter,0,0,0,0,0,0,0,0,0,0.01,0.51,46.12
Smarties candy,0,1,0,0,0,0,1,0,1,0.27,0.12,46.00
Tootsie Roll Midgies,1,0,0,0,0,0,0,0,1,0.17,0.01,45.74
Twizzlers,0,1,0,0,0,0,0,0,0,0.22,0.12,45.47
WelchÕs Fruit Snacks,0,1,0,0,0,0,0,0,1,0.31,0.31,44.38
Fruit Chews,0,1,0,0,0,0,0,0,1,0.13,0.03,43.09
Tootsie Roll Juniors,1,0,0,0,0,0,0,0,0,0.31,0.51,43.07
Runts,0,1,0,0,0,0,1,0,1,0.87,0.28,42.85
Dots,0,1,0,0,0,0,0,0,1,0.73,0.51,42.27
Haribo Twin Snakes,0,1,0,0,0,0,0,0,1,0.47,0.47,42.18
WertherÕs Original Caramel,0,0,1,0,0,0,1,0,0,0.19,0.27,41.90
Laffy Taffy,0,1,0,0,0,0,0,0,0,0.22,0.12,41.39
Pop Rocks,0,1,0,0,0,0,1,0,1,0.60,0.84,41.27
Dum Dums,0,1,0,0,0,0,1,0,0,0.73,0.03,39.46
Now & Later,0,1,0,0,0,0,0,0,1,0.22,0.32,39.45
Fun Dip,0,1,0,0,0,0,1,0,0,0.73,0.32,39.19
Lemonhead,0,1,0,0,0,0,1,0,0,0.05,0.10,39.14
Warheads,0,1,0,0,0,0,1,0,0,0.09,0.12,39.01
Charleston Chew,1,0,0,0,1,0,0,1,0,0.60,0.51,38.98
Candy Corn,0,0,0,0,0,0,0,0,1,0.91,0.32,38.01
Nestle Smarties,1,0,0,0,0,0,0,0,1,0.27,0.98,37.89
Pixie Sticks,0,0,0,0,0,0,0,0,1,0.09,0.02,37.72
Red vines,0,1,0,0,0,0,0,0,1,0.58,0.12,37.35
Chewey Lemonhead Fruit Mix,0,1,0,0,0,0,0,0,1,0.73,0.51,36.02
Ring pop,0,1,0,0,0,0,1,0,0,0.73,0.96,35.29
Sixlets,1,0,0,0,0,0,0,0,1,0.22,0.08,34.72
Strawberry bon bons,0,1,0,0,0,0,1,0,1,0.57,0.06,34.58
Caramel Apple Pops,0,1,1,0,0,0,0,0,0,0.60,0.32,34.52
Haribo Happy Cola,0,0,0,0,0,0,0,0,1,0.47,0.47,34.16
Sugar Babies,0,0,1,0,0,0,0,0,1,0.96,0.77,33.44
One dime,0,0,0,0,0,0,0,0,0,0.01,0.12,32.26
Sugar Daddy,0,0,1,0,0,0,0,0,0,0.42,0.32,32.23
Root Beer Barrels,0,0,0,0,0,0,1,0,1,0.73,0.07,29.70
Jawbusters,0,1,0,0,0,0,1,0,1,0.09,0.51,28.13
Super Bubble,0,1,0,0,0,0,0,0,0,0.16,0.12,27.30
Chiclets,0,1,0,0,0,0,0,0,1,0.05,0.32,24.52
Boston Baked Beans,0,0,0,1,0,0,0,0,1,0.31,0.51,23.42
Nik L Nip,0,1,0,0,0,0,0,0,1,0.20,0.98,22.45